rank,lemma
5,of
15,do
25,they
35,she
45,about
55,there
65,him
75,could
85,no
95,man
105,very
115,work
125,call
135,in
145,as
155,help
165,every
175,yes
185,its
195,hand
205,about
215,without
225,story
235,begin
245,fact
255,maybe
265,issue
275,though
285,best
295,both
305,much
315,four
325,car
335,back
345,member
355,whether
365,stay
375,die
385,office
395,grow
405,second
415,low
425,whole
435,hard
445,police
455,break
465,listen
475,full
485,local
495,value
505,explain
515,movie
525,difference
535,effort
545,because
555,need
565,situation
575,share
585,simply
595,open
605,save
615,guess
625,election
635,certain
645,available
655,current
665,list
675,fire
685,author
695,note
705,nearly
715,top
725,worker
735,race
745,poor
755,enjoy
765,defense
775,century
785,animal
795,mile
805,compare
815,sister
825,thus
835,candidate
845,somebody
855,meeting
865,imagine
875,disease
885,apply
895,rise
905,set
915,method
925,shit
935,interview
945,blue
955,environment
965,river
975,bit
985,absolutely
995,trouble
1005,seat
1015,necessary
1025,democratic
1035,address
1045,management
1055,tomorrow
1065,stick
1075,discover
1085,user
1095,inside
1105,nor
1115,through
1125,mouth
1135,travel
1145,photograph
1155,touch
1165,suffer
1175,heat
1185,judge
1195,fall
1205,internet
1215,element
1225,wind
1235,just
1245,interested
1255,researcher
1265,capital
1275,hill
1285,basic
1295,engage
1305,smile
1315,contract
1325,apple
1335,sales
1345,lake
1355,gain
1365,location
1375,otherwise
1385,highly
1395,cry
1405,associate
1415,connection
1425,smart
1435,ride
1445,presence
1455,crowd
1465,border
1475,website
1485,relation
1495,volume
1505,extra
1515,hire
1525,forest
1535,focus
1545,advice
1555,enemy
1565,female
1575,glad
1585,kick
1595,actor
1605,topic
1615,session
1625,wine
1635,youth
1645,extend
1655,surprise
1665,slightly
1675,lift
1685,excuse
1695,desire
1705,anywhere
1715,grand
1725,angry
1735,struggle
1745,neck
1755,generate
1765,literature
1775,capture
1785,studio
1795,circle
1805,colleague
1815,works
1825,comfortable
1835,teaching
1845,live
1855,zone
1865,minority
1875,gender
1885,domestic
1895,percentage
1905,request
1915,fee
1925,tooth
1935,self
1945,chapter
1955,shift
1965,convention
1975,scream
